id_sortie,bateau,date_sortie,zone,espece,quantite_kg
1,Cap Horn,2023-12-09,Crozet-Est,Poulpe austral,-24.0
2,Austral Leader,08/04/2023,Kerguelen-Golfe du Morbihan,Poisson des glaces,61.0
3,Austral Leader,14-12-2023,Crozet-Ouest,Raie,8.2
4,Pointe Geologie,09/10/2024,Crozet Est ,Poisson des glaces,n/a
5,Albatros II,28-10-2025,Crozet-Est,Legine australe,629.8
6,Cap Horn,13-02-2023,Kerguelen-Nord,Langouste,39.3
7,Albatros II,21/11/2025,Crozet-Ouest,Poulpe austral,8.2
8,Marion Dufresne (peche),2024-11-23,crozet est,Langouste,122.7
9,Marion Dufresne (peche),07-02-2024,Kerguelen-Sud,Poisson des glaces,66.1
10,Kerguelen Etoile,08-03-2024,Zone inconnue,Poulpe austral,10.3
11,Kerguelen Etoile,03/08/2025,Kerguelen Nord,Langouste,69.1
12,Cap Horn,20/07/24,Kerguelen-Golfe du Morbihan,Legine australe,135.9
13,Amsterdam I,11/11/2024,Crozet-Ouest,Poisson des glaces,
14,Albatros II,17/03/2025,Crozet-Ouest ,Poulpe austral,7.8
15,Kerguelen Etoile,01-09-2025,Crozet-Est,Raie,16.8
16,Albatros II,08/01/2023,Kerguelen-Sud,Legine australe,449.5
17,Kerguelen Etoile,2023-11-16,Kerguelen-Golfe du Morbihan,Poisson des glaces,93.2
18,Croix du Sud,13-05-2025,Kerguelen-Golfe du Morbihan,Poisson des glaces,26.3
19,Pointe Geologie,2023-10-18,Crozet-Est,Legine australe,94.2
20,Cap Horn,2023-06-03,Kerguelen-Sud,Langouste,111.3
21,Curieuse,08/08/25,kerguelen-sud,Legine australe,-24.4
22,Marion Dufresne (peche),28/08/2024,Crozet Est ,Legine australe,304.5
23,Cap Horn,07/04/23,Crozet-Ouest,Raie,17.6
24,Cap Horn,04/09/2024,crozet est,Legine australe,686.5
25,Kerguelen Etoile,2024-08-16,crozet est,Langouste,147.9
26,Albatros II,14/05/24,Kerguelen-Nord,Langouste,91.1
27,Amsterdam I,11/12/2023,Kerguelen-Sud,Poulpe austral,22.2
28,Austral Leader,2025-02-28,Crozet-Est,Langouste,141.8
29,Curieuse,20/10/2023,Kerguelen-Sud,Poulpe austral,14.0
30,Albatros II,23-11-2023,Kerguelen-Sud,Langouste,52.0
31,Pointe Geologie,15/01/2023,Crozet-Ouest,Poulpe austral,37.5
32,Cap Horn,2023-06-10,Kerguelen-Golfe du Morbihan,Raie,19.8
33,Amsterdam I,27-11-2023,,Legine australe,150.7
34,Cap Horn,2023-12-18,Kerguelen-Golfe du Morbihan,Langouste,38.5
35,Albatros II,09/08/2025,Kerguelen-Sud,Raie,
36,Pointe Geologie,2023-11-09,Zone inconnue,Poulpe austral,
37,Cap Horn,18/03/2025,Kerguelen Nord,Poisson des glaces,34.3
38,Austral Leader,2024-04-22,Kerguelen nord ,Poulpe austral,17.4
39,Curieuse,2025-03-08,,Langouste,13.5
40,Pointe Geologie,2024-11-28,Crozet-Est,Poisson des glaces,86.6
41,Croix du Sud,12-08-2023,kerguelen-sud,Langouste,
42,Croix du Sud,09/06/2024,,Raie,10.7
43,Amsterdam I,04-01-2024,Kerguelen-Nord,Legine australe,375.9
44,Pointe Geologie,17/10/2024,Kerguelen-Golfe du Morbihan,Langouste,109.2
45,Austral Leader,2025-09-22,Crozet-Est,Raie,13.6
46,Cap Horn,17-05-2025,Kerguelen nord ,Poisson des glaces,57.7
47,Croix du Sud,2024-11-13,Kerguelen-Nord,Poisson des glaces,5.0
48,Albatros II,26-07-2023,Kerguelen-Sud,Langouste,121.1
49,Kerguelen Etoile,10-02-2025,Crozet-Ouest,Raie,4.8
50,Austral Leader,16/04/2023,Kerguelen-Golfe du Morbihan,Langouste,63.8
51,Marion Dufresne (peche),21/03/2023,Crozet Est ,Poisson des glaces,81.4
52,Amsterdam I,2024-01-18,,Legine australe,651.1
53,Amsterdam I,11/10/25,Kerguelen-Golfe du Morbihan,Poisson des glaces,57.0
54,Kerguelen Etoile,15-08-2025,Crozet-Ouest ,Poulpe austral,11.1
55,Saint Paul,2023-12-10,Kerguelen-Nord,Poulpe austral,-11.8
56,Marion Dufresne (peche),2025-03-23,Kerguelen-Sud,Raie,8.9
57,Croix du Sud,25/07/2024,Zone inconnue,Poisson des glaces,
58,Pointe Geologie,28/07/24,Kerguelen-Golfe du Morbihan,Poulpe austral,20.6
59,Albatros II,01/08/24,Kerguelen-Sud,Langouste,138.7
60,Curieuse,13/01/2025,Kerguelen-Sud,Langouste,35.4
61,Albatros II,07/06/24,Kerguelen-Sud,Raie,16.8
62,Albatros II,01/08/2023,,Raie,2.3
63,Austral Leader,07/04/2023,Crozet-Ouest,Langouste,26.0
64,Croix du Sud,09-12-2024,Kerguelen-Golfe du Morbihan,Legine australe,172.8
65,Albatros II,01-10-2023,Kerguelen-Sud,Poisson des glaces,23.8
66,Curieuse,08/11/2025,Crozet-Ouest ,Poulpe austral,32.3
67,Curieuse,18/06/23,Crozet Est ,Poulpe austral,2.5
68,Marion Dufresne (peche),14-02-2024,Kerguelen-Sud,Langouste,112.7
69,Albatros II,25/09/25,Kerguelen-Golfe du Morbihan,Raie,5.7
70,Cap Horn,08/08/24,Kerguelen-Sud,Raie,
71,Pointe Geologie,07-08-2023,Kerguelen nord ,Raie,14.3
72,Albatros II,2025-01-17,Kerguelen-Sud,Poisson des glaces,27.8
73,Saint Paul,16/12/25,Crozet Est ,Raie,14.1
74,Albatros II,12/10/25,Kerguelen-Nord,Poisson des glaces,57.3
75,Pointe Geologie,09-08-2025,Crozet-Est,Langouste,114.0
76,Kerguelen Etoile,24/04/23,Kerguelen-Golfe du Morbihan,Poulpe austral,39.3
77,Croix du Sud,2024-04-12,Kerguelen-Golfe du Morbihan,Langouste,146.4
78,Amsterdam I,05/12/24,Crozet-Est,Poulpe austral,20.2
79,Pointe Geologie,09/01/23,Crozet-Est,Poisson des glaces,59.8
80,Austral Leader,26-03-2023,Crozet-Ouest,Legine australe,362.1
81,Curieuse,25/04/25,Kerguelen-Sud,Raie,19.8
82,Albatros II,02/10/2025,,Langouste,47.1
83,Cap Horn,06/04/2023,Kerguelen-Sud,Poisson des glaces,49.6
84,Austral Leader,23-05-2023,Crozzet-Est,Legine australe,742.9
85,Curieuse,14/04/2025,Crozet-Ouest,Raie,2.4
86,Kerguelen Etoile,24-10-2024,Kerguelen-Sud,Raie,18.9
87,Amsterdam I,15/08/2025,Kerguelen-Sud,Raie,1.5
88,Croix du Sud,19/10/2025,,Raie,15.5
89,Kerguelen Etoile,21/09/24,,Langouste,71.0
90,Saint Paul,12/08/23,Crozet-Est,Langouste,107.1
91,Albatros II,27/07/2025,Kerguelen-Nord,Raie,19.4
92,Marion Dufresne (peche),22/01/25,Crozet-Ouest,Poulpe austral,30.7
93,Saint Paul,2023-04-09,,Poisson des glaces,51.0
94,Austral Leader,2025-10-26,Crozet-Ouest ,Poulpe austral,
95,Marion Dufresne (peche),27/04/2023,Crozet-Est,Langouste,110.3
96,Amsterdam I,14/05/25,,Langouste,30.2
97,Croix du Sud,2025-09-24,Crozet-Ouest ,Poisson des glaces,79.8
98,Albatros II,24-05-2023,Crozzet-Est,Langouste,77.8
99,Pointe Geologie,13/09/25,,Langouste,43.4
100,Marion Dufresne (peche),02-07-2023,Zone inconnue,Poisson des glaces,80.3
101,Kerguelen Etoile,05-01-2024,Crozzet-Est,Legine australe,392.7
102,Kerguelen Etoile,05/11/2024,Kerguelen-Nord,Raie,8.6
103,Cap Horn,28/11/24,,Poisson des glaces,8.4
104,Cap Horn,22-11-2023,,Legine australe,123.8
105,Cap Horn,23-03-2024,,Legine australe,92.1
106,Pointe Geologie,2024-07-05,Kerguelen-Golfe du Morbihan,Langouste,21.1
107,Marion Dufresne (peche),08/11/25,,Langouste,99.3
108,Saint Paul,01/11/24,,Poulpe austral,18.8
109,Pointe Geologie,21/05/25,Crozzet-Est,Raie,8.3
110,Saint Paul,13-04-2023,Kerguelen-Nord,Legine australe,543.7
111,Albatros II,28/10/2023,,Poisson des glaces,90.8
112,Croix du Sud,2025-06-08,Crozet-Ouest,Legine australe,534.8
113,Albatros II,19-01-2024,Crozet Est ,Raie,8.9
114,Croix du Sud,12-09-2023,Crozet-Ouest ,Poisson des glaces,33.0
115,Pointe Geologie,2023-08-03,kerguelen-sud,Poisson des glaces,81.4
116,Pointe Geologie,01-07-2023,Kerguelen-Sud,Raie,13.8
117,Curieuse,12/11/2024,Crozzet-Est,Legine australe,757.4
118,Pointe Geologie,21/04/2025,Kerguelen-Sud,Raie,3.2
119,Austral Leader,16/05/2023,Kerguelen-Golfe du Morbihan,Langouste,61.9
120,Amsterdam I,2024-10-24,Crozet Est ,Poisson des glaces,94.2
121,Albatros II,2023-12-12,Crozet-Ouest,Raie,-35.9
122,Amsterdam I,02/06/25,Crozet-Est,Poisson des glaces,-14.5
123,Curieuse,26-01-2023,Crozet-Ouest,Poulpe austral,33.5
124,Amsterdam I,2023-10-07,Crozet-Ouest,Poulpe austral,
125,Kerguelen Etoile,2023-09-09,Crozet-Est,Langouste,
126,Croix du Sud,2025-06-01,Crozet-Ouest,Poisson des glaces,75.8
127,Saint Paul,17/06/2024,Crozet-Ouest,Poulpe austral,
128,Amsterdam I,21/08/2024,Kerguelen-Sud,Poisson des glaces,15.3
129,Saint Paul,2023-02-11,Kerguelen-Nord,Poulpe austral,22.8
130,Pointe Geologie,17-10-2024,Kerguelen-Golfe du Morbihan,Poisson des glaces,-36.6
131,Amsterdam I,14/04/25,Zone inconnue,Raie,8.6
132,Cap Horn,11-07-2024,Crozet-Ouest,Poisson des glaces,n/a
133,Cap Horn,04-07-2023,crozet est,Poulpe austral,23.3
134,Cap Horn,28/06/24,crozet est,Raie,7.7
135,Curieuse,05/04/25,Crozet-Est,Raie,8.0
136,Albatros II,26/04/25,crozet est,Poulpe austral,33.5
137,Albatros II,09-03-2023,,Raie,
138,Kerguelen Etoile,13/11/2025,Crozet-Est,Legine australe,211.3
139,Marion Dufresne (peche),06-06-2024,Kerguelen-Nord,Poulpe austral,35.6
140,Kerguelen Etoile,02/10/2023,Kerguelen-Sud,Poisson des glaces,44.3
141,Croix du Sud,12/02/25,Kerguelen-Golfe du Morbihan,Poisson des glaces,34.3
